"","ObsidianArtifacts.Code","ObsidianArtifacts.ID","ObsidianArtifacts.Rb","ObsidianArtifacts.Sr","ObsidianArtifacts.Y","ObsidianArtifacts.Zr","ObsidianArtifacts.Nb"
"39","D","A1",167,12,27,67,48
"143","D","A2",153,14,25,73,43
"137","D","A3",165,12,20,68,44
"109","D","A4",156,12,23,66,48
"190","D","A5",152,13,23,68,49
"406","D","A6",150,12,22,70,46
"276","D","A7",147,11,24,67,43
"219","D","A8",148,13,22,70,43
"400","D","A9",144,11,21,67,40
"282","D","A10",141,14,21,62,43
"236","D","A11",151,11,21,65,47
"130","D","A12",166,15,25,78,52
"294","D","A13",149,14,20,71,45
"434","D","A14",157,14,23,69,44
"201","D","A15",150,16,24,65,48
"427","D","A16",158,13,25,69,49
"197","D","A17",225,10,65,182,96
"381","D","A18",159,15,21,72,49
"38","D","A19",169,15,20,76,41
"159","D","A20",160,13,20,85,49
"437","D","A21",156,13,25,70,46
"131","D","A22",182,14,26,70,46
"36","D","A23",177,13,26,68,44
"420","D","A24",147,15,24,68,48
"412","D","A25",155,11,23,69,45
"178","D","A26",159,12,27,71,45
"364","D","A27",150,14,19,67,46
"311","D","A28",146,13,22,69,50
"146","D","A29",151,14,22,69,51
"126","D","A30",165,11,21,69,44
"442","C","A31",219,9,68,183,107
"231","C","A32",233,11,66,171,95
"423","C","A33",193,9,61,169,92
"216","C","A34",208,8,61,173,94
"110","C","A35",207,8,63,174,101
"153","C","A36",228,10,66,182,101
"240","C","A37",206,8,63,168,101
"261","C","A38",206,8,60,174,97
"268","C","A39",213,10,62,165,91
"342","C","A40",209,10,68,173,92
"353","C","A41",235,9,65,187,97
"168","C","A42",222,8,67,177,96
"199","C","A43",223,10,67,184,102
"312","C","A44",190,9,60,170,96
"163","C","A45",227,9,65,168,94
"77","C","A46",206,8,65,174,95
"234","C","A47",242,13,64,173,96
"359","C","A48",188,9,60,167,93
"112","C","A49",218,9,63,182,91
"293","C","A50",179,9,62,161,90
"419","C","A51",220,8,64,175,95
"338","C","A52",233,10,69,184,99
"348","C","A53",205,8,61,171,99
"306","C","A54",217,9,64,179,95
"208","C","A55",207,8,63,173,95
"355","C","A56",204,9,60,173,98
"305","C","A57",214,9,63,172,97
"215","C","A58",214,8,64,171,100
"69","C","A59",201,9,63,173,99
"245","C","A60",199,9,64,165,91
"16","B","A61",179,13,47,163,58
"24","B","A62",195,12,47,182,56
"65","B","A63",195,14,48,171,53
"288","B","A64",167,23,43,166,53
"22","B","A65",181,12,48,174,50
"88","B","A66",179,15,48,174,61
"71","B","A67",175,14,47,160,54
"104","B","A68",156,12,42,157,54
"27","B","A69",186,13,51,182,60
"76","B","A70",166,12,42,162,52
"103","B","A71",170,11,45,167,50
"47","B","A72",192,15,44,166,48
"270","B","A73",174,10,48,146,77
"446","B","A74",133,11,41,150,51
"206","B","A75",161,14,42,164,51
"102","B","A76",166,14,46,167,52
"181","B","A77",169,10,43,163,60
"107","B","A78",183,11,45,175,60
"55","B","A79",177,12,43,168,54
"283","B","A80",160,17,44,167,52
"87","B","A81",179,12,46,180,61
"15","B","A82",175,14,48,176,60
"52","B","A83",178,13,46,165,56
"291","B","A84",164,15,45,166,57
"5","B","A85",165,14,42,163,50
"51","B","A86",184,15,43,159,53
"4","B","A87",158,13,48,163,56
"49","B","A88",189,16,39,154,47
"388","B","A89",202,14,41,164,62
"72","B","A90",172,14,46,158,53
"349","A","A91",113,44,20,101,51
