"","Code","Rb","Sr","Y","Zr","Nb"
"1","AW",0.08,0.19,0.05,0.05,0.06
"2","CC",0.07,0.1,0.07,0.08,0.1
"3","DP.E",0.05,0.1,0.09,0.05,0.1
"4","DP.W",0.06,0.04,0.06,0.04,0.08
"5","GC",0.08,0.62,0.08,0.09,0.16
"6","GM",0.03,0.04,0.09,0.04,0.05
"7","JBS",0.04,0.1,0.11,0.03,0.08
"8","JCM",0.04,0.05,0.03,0.03,0.02
"9","JCT",0.04,0.44,0.04,0.04,0.03
"10","JER",0.04,0.29,0.04,0.04,0.04
"11","JP",0.05,0.05,0.09,0.06,0.1
"12","MC.AC",0.06,0.19,0.08,0.07,0.11
"13","MC.MM",0.07,0.37,0.13,0.2,0.16
"14","MC.SC",0.04,0.32,0.03,0.06,0.03
"15","MT",0.08,0.61,0.08,0.09,0.09
"16","PW",0.09,0.12,0.15,0.04,0.1
"17","RH",0.11,0.26,0.14,0.06,0.12
"18","RM",0.04,0.35,0.04,0.05,0.05
"19","SM",0.04,0.41,0.05,0.04,0.02
"20","SS",0.08,0.24,0.14,0.07,0.1
"21","ST",0.11,0.25,0.12,0.09,0.11
"22","Su",0.06,0.1,0.07,0.05,0.08
"23","TM",0.05,0.04,0.07,0.03,0.13
"24","Vu",0.06,0.05,0.09,0.03,0.12
