"","Code","Subset","ID","Ti","Mn","Fe","Rb","Sr","Y","Zr","Nb","Ba","Pb","Th","Zn"
"408","MT","GrantsRidge","-2",NA,807,8181,566,4,77,117,197,14,NA,36,152
"409","MT","GrantsRidge","-3",NA,773,7907,540,5,74,116,192,15,NA,38,143
"410","MT","GrantsRidge","-4",NA,923,8928,603,5,79,123,199,14,NA,34,165
"411","MT","GrantsRidge","-5",NA,1026,9114,626,4,78,121,210,11,NA,30,180
"412","MT","GrantsRidge","-6",NA,817,8166,561,4,77,124,201,16,NA,33,144
"414","MT","GrantsRidge","-8",NA,825,8045,534,4,72,116,192,15,NA,41,146
"416","MT","GrantsRidge","-10",NA,845,8292,568,3,75,115,194,12,NA,NA,156
"418","MT","GrantsRidge","-2",NA,879,8493,587,1,77,120,197,12,NA,NA,160
"419","MT","GrantsRidge","-3",NA,878,8461,590,7,80,118,204,13,NA,NA,160
"420","MT","GrantsRidge","-4",NA,826,8177,571,4,78,116,195,13,NA,NA,161
"421","MT","GrantsRidge","-5",NA,886,8651,601,3,79,122,208,12,NA,NA,164
"594","ST"," ","9",1242.3,526.4,11641.7,160,7.1,33.4,243.3,26.7,NA,NA,22,55
"635","Su"," ","JB11",937,424,7612,111,21,23,91,25,NA,NA,NA,43
